Periodo,Indicador,Área geográfica,DATA
2000 Feb,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,72.25
2000 Mar,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,74.65
2000 Abr,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,71.37
2000 May,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,75.42
2000 Jun,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,74.95
2000 Jul,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,74.03
2000 Ago,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,74.84
2000 Sep,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,75.72
2000 Oct,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,74.41
2000 Nov,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,74.32
2000 Dic,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,73.08
2001 Ene,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,73.6
2001 Feb,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,71.05
2001 Mar,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,74.4
2001 Abr,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,71.92
2001 May,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,74.86
2001 Jun,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,73.79
2001 Jul,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,72.89
2001 Ago,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,74.04
2001 Sep,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,73.82
2001 Oct,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,73.41
2001 Nov,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,73.05
2001 Dic,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,72.29
2002 Ene,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,71.11
2002 Feb,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,68.97
2002 Mar,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,70.54
2002 Abr,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,74.86
2002 May,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,74.71
2002 Jun,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,72.86
2002 Jul,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,73.62
2002 Ago,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,73.89
2002 Sep,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,73.96
2002 Oct,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,74.95
2002 Nov,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,73.36
2002 Dic,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,73.87
2003 Ene,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,72.57
2003 Feb,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,70.94
2003 Mar,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,73.52
2003 Abr,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,73.56
2003 May,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,74.76
2003 Jun,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,74.31
2003 Jul,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,74.21
2003 Ago,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,72.62
2003 Sep,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,74.3
2003 Oct,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,74.78
2003 Nov,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,72.97
2003 Dic,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,76.16
2004 Ene,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,73.61
2004 Feb,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,72.56
2004 Mar,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,77.76
2004 Abr,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,76.01
2004 May,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,77
2004 Jun,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,77.97
2004 Jul,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,75.76
2004 Ago,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,75.86
2004 Sep,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,76.75
2004 Oct,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,76.54
2004 Nov,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,77.6
2004 Dic,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,78.61
