Periodo,Área geográfica,Indicador,DATA
1999 Feb,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",67.1
1999 Mar,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",69.2
1999 Abr,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",62.7
1999 May,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",63.5
1999 Jun,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",63.1
1999 Jul,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",66.2
1999 Ago,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",71.3
1999 Sep,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",69.8
1999 Oct,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",67.5
1999 Nov,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",71.6
1999 Dic,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",76.5
2000 Ene,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",68
2000 Feb,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",71.2
2000 Mar,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",71.2
2000 Abr,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",66.1
2000 May,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",69
2000 Jun,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",66.6
2000 Jul,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",70.7
2000 Ago,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",77.8
2000 Sep,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",73.2
2000 Oct,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",71.8
2000 Nov,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",74.5
2000 Dic,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",73.4
2001 Ene,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",66
2001 Feb,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",65.8
2001 Mar,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",67.6
2001 Abr,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",60.8
2001 May,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",62.7
2001 Jun,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",60.8
2001 Jul,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",66.6
2001 Ago,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",71.5
2001 Sep,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",67.7
2001 Oct,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",65.5
2001 Nov,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",69.8
2001 Dic,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",71.1
2002 Ene,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",62.4
2002 Feb,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",62.3
2002 Mar,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",59.1
