ds,unique_id,y
1993-05-19,consumo,54.3
1993-06-19,consumo,54.2
1993-07-19,consumo,53.2
1993-08-19,consumo,52.8
1993-09-19,consumo,53.8
1993-10-19,consumo,53.5
1993-11-19,consumo,53.9
1993-12-19,consumo,60.1
1994-01-19,consumo,53.0
1994-02-19,consumo,51.3
1994-03-19,consumo,55.3
1994-04-19,consumo,56.4
1994-05-19,consumo,56.9
1994-06-19,consumo,57.3
1994-07-19,consumo,56.0
1994-08-19,consumo,57.4
1994-09-19,consumo,57.4
1994-10-19,consumo,57.1
1994-11-19,consumo,58.3
1994-12-19,consumo,60.9
1995-01-19,consumo,53.3
1995-02-19,consumo,50.4
1995-03-19,consumo,54.1
1995-04-19,consumo,51.8
1995-05-19,consumo,53.3
1995-06-19,consumo,53.2
1995-07-19,consumo,51.7
1995-08-19,consumo,53.0
1995-09-19,consumo,52.7
1995-10-19,consumo,52.7
1995-11-19,consumo,53.3
1995-12-19,consumo,56.8
1996-01-19,consumo,53.0
1996-02-19,consumo,50.8
1996-03-19,consumo,54.6
1996-04-19,consumo,53.7
1996-05-19,consumo,55.3
1996-06-19,consumo,54.0
1996-07-19,consumo,54.9
1996-08-19,consumo,55.0
1996-09-19,consumo,54.8
1996-10-19,consumo,57.0
1996-11-19,consumo,56.6
1996-12-19,consumo,59.6
1997-01-19,consumo,55.6
1997-02-19,consumo,54.1
1997-03-19,consumo,55.8
1997-04-19,consumo,59.8
1997-05-19,consumo,59.6
1997-06-19,consumo,59.1
1997-07-19,consumo,59.3
1997-08-19,consumo,59.2
1997-09-19,consumo,60.1
1997-10-19,consumo,61.9
1997-11-19,consumo,60.8
1997-12-19,consumo,64.6
1998-01-19,consumo,60.2
1998-02-19,consumo,58.6
1998-03-19,consumo,64.0
1998-04-19,consumo,62.3
1998-05-19,consumo,64.1
1998-06-19,consumo,63.6
1998-07-19,consumo,63.4
1998-08-19,consumo,62.8
1998-09-19,consumo,63.5
1998-10-19,consumo,64.8
1998-11-19,consumo,63.4
1998-12-19,consumo,67.5
1999-01-19,consumo,61.6
1999-02-19,consumo,60.0
1999-03-19,consumo,65.4
1999-04-19,consumo,64.5
1999-05-19,consumo,65.9
1999-06-19,consumo,65.8
1999-07-19,consumo,66.4
1999-08-19,consumo,66.3
1999-09-19,consumo,67.2
1999-10-19,consumo,67.6
1999-11-19,consumo,68.0
1999-12-19,consumo,72.0
2000-01-19,consumo,67.1
2000-02-19,consumo,66.5
2000-03-19,consumo,71.3
2000-04-19,consumo,68.7
2000-05-19,consumo,73.0
2000-06-19,consumo,71.9
2000-07-19,consumo,71.9
2000-08-19,consumo,72.7
2000-09-19,consumo,72.7
2000-10-19,consumo,74.5
2000-11-19,consumo,74.0
2000-12-19,consumo,75.4
2001-01-19,consumo,71.9
2001-02-19,consumo,68.5
2001-03-19,consumo,74.3
2001-04-19,consumo,71.8
2001-05-19,consumo,75.0
2001-06-19,consumo,74.7
2001-07-19,consumo,73.3
2001-08-19,consumo,74.4
2001-09-19,consumo,73.2
2001-10-19,consumo,75.7
2001-11-19,consumo,74.5
2001-12-19,consumo,76.6
2002-01-19,consumo,72.2
2002-02-19,consumo,68.4
2002-03-19,consumo,73.1
2002-04-19,consumo,77.1
2002-05-19,consumo,76.9
2002-06-19,consumo,74.5
2002-07-19,consumo,75.7
2002-08-19,consumo,75.3
2002-09-19,consumo,74.5
2002-10-19,consumo,77.2
2002-11-19,consumo,75.0
2002-12-19,consumo,77.7
2003-01-19,consumo,73.7
2003-02-19,consumo,70.8
2003-03-19,consumo,75.7
2003-04-19,consumo,76.3
2003-05-19,consumo,77.5
2003-06-19,consumo,76.1
2003-07-19,consumo,77.7
2003-08-19,consumo,75.7
2003-09-19,consumo,76.8
2003-10-19,consumo,77.9
2003-11-19,consumo,76.2
2003-12-19,consumo,82.4
2004-01-19,consumo,74.1
2004-02-19,consumo,72.5
2004-03-19,consumo,79.3
2004-04-19,consumo,77.7
2004-05-19,consumo,78.3
2004-06-19,consumo,78.3
2004-07-19,consumo,78.0
2004-08-19,consumo,78.4
2004-09-19,consumo,78.5
2004-10-19,consumo,78.2
2004-11-19,consumo,80.8
2004-12-19,consumo,83.9
2005-01-19,consumo,76.3
2005-02-19,consumo,73.7
2005-03-19,consumo,77.7
2005-04-19,consumo,80.3
2005-05-19,consumo,80.7
2005-06-19,consumo,79.2
2005-07-19,consumo,78.4
2005-08-19,consumo,81.2
2005-09-19,consumo,81.2
2005-10-19,consumo,81.0
2005-11-19,consumo,82.5
2005-12-19,consumo,85.6
2006-01-19,consumo,79.8
2006-02-19,consumo,77.0
2006-03-19,consumo,83.3
2006-04-19,consumo,81.1
2006-05-19,consumo,85.7
2006-06-19,consumo,84.3
2006-07-19,consumo,82.2
2006-08-19,consumo,85.3
2006-09-19,consumo,84.1
2006-10-19,consumo,85.1
2006-11-19,consumo,85.8
2006-12-19,consumo,86.9
2007-01-19,consumo,81.6
2007-02-19,consumo,78.4
2007-03-19,consumo,84.8
2007-04-19,consumo,82.4
2007-05-19,consumo,86.6
2007-06-19,consumo,85.1
2007-07-19,consumo,82.9
2007-08-19,consumo,86.3
2007-09-19,consumo,83.2
2007-10-19,consumo,87.1
2007-11-19,consumo,86.5
2007-12-19,consumo,86.8
2008-01-19,consumo,83.5
2008-02-19,consumo,81.8
2008-03-19,consumo,82.7
2008-04-19,consumo,87.3
2008-05-19,consumo,88.1
2008-06-19,consumo,85.9
2008-07-19,consumo,87.1
2008-08-19,consumo,86.0
2008-09-19,consumo,85.1
2008-10-19,consumo,86.0
2008-11-19,consumo,83.5
2008-12-19,consumo,85.0
2009-01-19,consumo,76.6
2009-02-19,consumo,73.7
2009-03-19,consumo,78.6
2009-04-19,consumo,77.1
2009-05-19,consumo,76.1
2009-06-19,consumo,78.1
2009-07-19,consumo,79.3
2009-08-19,consumo,79.9
2009-09-19,consumo,79.4
2009-10-19,consumo,81.8
2009-11-19,consumo,82.1
2009-12-19,consumo,86.4
2010-01-19,consumo,78.1
2010-02-19,consumo,75.8
2010-03-19,consumo,82.5
2010-04-19,consumo,81.1
2010-05-19,consumo,82.8
2010-06-19,consumo,82.7
2010-07-19,consumo,82.6
2010-08-19,consumo,83.6
2010-09-19,consumo,83.5
2010-10-19,consumo,84.5
2010-11-19,consumo,87.0
2010-12-19,consumo,89.6
2011-01-19,consumo,83.4
2011-02-19,consumo,80.4
2011-03-19,consumo,86.6
2011-04-19,consumo,83.9
2011-05-19,consumo,86.5
2011-06-19,consumo,85.9
2011-07-19,consumo,85.8
2011-08-19,consumo,89.2
2011-09-19,consumo,87.2
2011-10-19,consumo,88.8
2011-11-19,consumo,89.9
2011-12-19,consumo,92.4
2012-01-19,consumo,84.6
2012-02-19,consumo,82.2
2012-03-19,consumo,88.1
2012-04-19,consumo,85.5
2012-05-19,consumo,88.3
2012-06-19,consumo,87.8
2012-07-19,consumo,88.3
2012-08-19,consumo,91.5
2012-09-19,consumo,87.6
2012-10-19,consumo,92.9
2012-11-19,consumo,94.2
2012-12-19,consumo,91.4
2013-01-19,consumo,89.2
2013-02-19,consumo,84.6
2013-03-19,consumo,87.3
2013-04-19,consumo,90.9
2013-05-19,consumo,92.1
2013-06-19,consumo,88.9
2013-07-19,consumo,91.9
2013-08-19,consumo,92.8
2013-09-19,consumo,88.7
2013-10-19,consumo,94.4
2013-11-19,consumo,93.9
2013-12-19,consumo,95.0
2014-01-19,consumo,90.8
2014-02-19,consumo,85.6
2014-03-19,consumo,90.8
2014-04-19,consumo,91.0
2014-05-19,consumo,93.1
2014-06-19,consumo,91.4
2014-07-19,consumo,93.9
2014-08-19,consumo,93.4
2014-09-19,consumo,91.8
2014-10-19,consumo,96.7
2014-11-19,consumo,95.4
2014-12-19,consumo,97.5
2015-01-19,consumo,93.7
2015-02-19,consumo,87.9
2015-03-19,consumo,93.6
2015-04-19,consumo,92.0
2015-05-19,consumo,94.0
2015-06-19,consumo,94.8
2015-07-19,consumo,96.1
2015-08-19,consumo,96.1
2015-09-19,consumo,95.2
2015-10-19,consumo,99.8
2015-11-19,consumo,98.3
2015-12-19,consumo,99.8
2016-01-19,consumo,96.4
2016-02-19,consumo,91.4
2016-03-19,consumo,94.4
2016-04-19,consumo,95.4
2016-05-19,consumo,95.7
2016-06-19,consumo,96.5
2016-07-19,consumo,96.3
2016-08-19,consumo,99.4
2016-09-19,consumo,96.1
2016-10-19,consumo,98.9
2016-11-19,consumo,100.0
2016-12-19,consumo,102.3
2017-01-19,consumo,98.0
2017-02-19,consumo,92.4
2017-03-19,consumo,98.9
2017-04-19,consumo,94.1
2017-05-19,consumo,99.2
2017-06-19,consumo,98.9
2017-07-19,consumo,97.9
2017-08-19,consumo,102.9
2017-09-19,consumo,96.9
2017-10-19,consumo,101.2
2017-11-19,consumo,101.7
2017-12-19,consumo,101.1
2018-01-19,consumo,101.6
2018-02-19,consumo,93.8
2018-03-19,consumo,97.6
2018-04-19,consumo,98.4
2018-05-19,consumo,100.9
2018-06-19,consumo,99.5
2018-07-19,consumo,100.5
2018-08-19,consumo,103.4
2018-09-19,consumo,98.1
2018-10-19,consumo,102.7
2018-11-19,consumo,103.1
2018-12-19,consumo,100.5
2019-01-19,consumo,103.0
2019-02-19,consumo,94.8
2019-03-19,consumo,98.4
2019-04-19,consumo,97.7
2019-05-19,consumo,101.6
2019-06-19,consumo,99.9
2019-07-19,consumo,102.8
2019-08-19,consumo,102.6
2019-09-19,consumo,99.3
2019-10-19,consumo,104.3
2019-11-19,consumo,104.2
2019-12-19,consumo,102.3
2020-01-19,consumo,103.4
2020-02-19,consumo,95.7
2020-03-19,consumo,95.3
2020-04-19,consumo,76.7
2020-05-19,consumo,77.1
2020-06-19,consumo,83.9
2020-07-19,consumo,88.7
2020-08-19,consumo,89.4
2020-09-19,consumo,91.9
2020-10-19,consumo,95.7
2020-11-19,consumo,96.4
2020-12-19,consumo,97.7
2021-01-19,consumo,95.6
2021-02-19,consumo,89.7
2021-03-19,consumo,99.1
2021-04-19,consumo,96.4
2021-05-19,consumo,98.5
2021-06-19,consumo,99.2
2021-07-19,consumo,100.2
2021-08-19,consumo,99.4
2021-09-19,consumo,98.1
2021-10-19,consumo,100.9
2021-11-19,consumo,102.6
2021-12-19,consumo,103.7
2022-01-19,consumo,100.6
2022-02-19,consumo,95.3
2022-03-19,consumo,103.9
2022-04-19,consumo,100.6
2022-05-19,consumo,104.2
2022-06-19,consumo,103.4
2022-07-19,consumo,102.9
2022-08-19,consumo,105.5
2022-09-19,consumo,103.5
2022-10-19,consumo,105.7
2022-11-19,consumo,106.6
2022-12-19,consumo,107.7
2023-01-19,consumo,105.5
2023-02-19,consumo,98.2
2023-03-19,consumo,106.2
2023-04-19,consumo,102.6
2023-05-19,consumo,109.0
2023-06-19,consumo,108.0
2023-07-19,consumo,107.8
2023-08-19,consumo,111.3
2023-09-19,consumo,108.7
2023-10-19,consumo,111.5
2023-11-19,consumo,112.4
2023-12-19,consumo,111.0
2024-01-19,consumo,110.5
2024-02-19,consumo,105.5
2024-03-19,consumo,107.9
2024-04-19,consumo,111.8
2024-05-19,consumo,112.4
2024-06-19,consumo,108.3
2024-07-19,consumo,113.4
2024-08-19,consumo,113.4
2024-09-19,consumo,108.9
2024-10-19,consumo,112.3
2024-11-19,consumo,112.1
2024-12-19,consumo,109.0
2025-01-19,consumo,108.4
2025-02-19,consumo,103.0
2025-03-19,consumo,108.9
2025-04-19,consumo,109.9
